Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,CISP,DFID,Education,CECs Training,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,CECs Training,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,CECs Training,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,CECs Training,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,CECs Training,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,CECs Training,,Mudug,Gaalkacyo,Gaalkacyo,,Completed,,11/1/2018,11/30/2018,6.651578,47.22737
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,11/1/2018,11/30/2018,5.5282,46.570713
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,11/1/2018,11/30/2018,5.5282,46.570713
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Cabudwaaq,Xanan Buro,,Completed,,11/1/2018,11/30/2018,5.867307,46.205765
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,11/1/2018,11/30/2018,5.5282,46.570713
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,11/1/2018,11/30/2018,5.5282,46.570713
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,11/1/2018,11/30/2018,5.5282,46.570713
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Cabudwaaq,Xanan Buro,,Completed,,11/1/2018,11/30/2018,5.867307,46.205765
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Other- please specify,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Other- please specify,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Dhuusamarreeb,,Completed,,11/1/2018,11/30/2018,5.5282,46.570713
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Other- please specify,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Other- please specify,,Galgaduud,Dhuusamarreeb,Guri-Ceel,,Completed,,11/1/2018,11/30/2018,5.28062,47.5701
Periode I,CISP,DFID,Education,Provision of Food/Food Grant,,Galgaduud,Cabudwaaq,Xanan Buro,,Completed,,11/1/2018,11/30/2018,5.867307,46.205765
Periode I,CISP,DFID,Education,Other- please specify,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Other- please specify,,Hiraan,Belet Weyne,Matabaan,,Completed,,11/1/2018,11/30/2018,5.19938,45.52517
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hodan ,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hodan,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hodan ,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wardhigley,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hamar Weyne,Xamar Weyne,,Completed,,11/1/2018,11/30/2018,2.033731,45.34
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Karaan,Karaan,,Completed,,11/1/2018,11/30/2018,2.06516,45.39
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,11/1/2018,11/30/2018,2.04045,45.36
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wardhigley,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hamar Weyne,Xamar Weyne,,Completed,,11/1/2018,11/30/2018,2.033731,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Karaan,Karaan,,Completed,,11/1/2018,11/30/2018,2.06516,45.39
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wardhigley,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Wardhiigleey,,Completed,,11/1/2018,11/30/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Karaan,Karaan,,Completed,,11/1/2018,11/30/2018,2.06516,45.39
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hamar Weyne,Xamar Weyne,,Completed,,11/1/2018,11/30/2018,2.033731,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hamar Weyne,Xamar Weyne,,Completed,,11/1/2018,11/30/2018,2.033731,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan,Hodan,,Completed,,11/1/2018,11/30/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,11/1/2018,11/30/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Karaan,Karaan,,Completed,,11/1/2018,11/30/2018,2.06516,45.39
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Dharkenley,,Completed,,11/1/2018,11/30/2018,3.05972,45.419998
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,11/1/2018,11/30/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,11/1/2018,11/30/2018,2.04045,45.36
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,11/1/2018,11/30/2018,2.04045,45.36
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,EU,Education,Emergency Teacher Incentives,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,11/1/2018,11/30/2018,2.04045,45.36
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,11/1/2018,11/30/2018,2.04555,45.34
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,11/1/2018,11/30/2018,2.019514,45.31
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,11/1/2018,11/30/2018,2.048031,45.32
Periode I,CISP,EU,Education,Other- please specify,,Banadir,Cabdulasiis,Mogadishu/Cabdulcasiis,,Completed,,11/1/2018,11/30/2018,2.04045,45.36
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wadajir,Wadajir,,Completed,,12/1/2018,12/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wadajir,Wadajir,,Completed,,12/1/2018,12/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wadajir,Wadajir,,Completed,,12/1/2018,12/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,12/1/2018,12/31/2018,2.009499,45.25
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,12/1/2018,12/31/2018,2.009499,45.25
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,12/1/2018,12/31/2018,2.009499,45.25
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hodan ,Hodan,,Completed,,12/1/2018,12/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hodan,Hodan,,Completed,,12/1/2018,12/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hodan ,Hodan,,Completed,,12/1/2018,12/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,12/1/2018,12/31/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Wardhigley,Wardhiigleey,,Completed,,12/1/2018,12/31/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Waaberi,,Completed,,12/1/2018,12/31/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Waaberi,Waaberi,,Completed,,12/1/2018,12/31/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Hamar Weyne,Xamar Weyne,,Completed,,12/1/2018,12/31/2018,2.033731,45.34
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,12/1/2018,12/31/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,12/1/2018,12/31/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Karaan,Karaan,,Completed,,12/1/2018,12/31/2018,2.06516,45.39
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,12/1/2018,12/31/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,12/1/2018,12/31/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Emergency Teacher Incentives,,Banadir,Yaaqshid,Yaaqshiid,,Completed,,12/1/2018,12/31/2018,2.067771,45.35
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,12/1/2018,12/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,12/1/2018,12/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wadajir,Wadajir,,Completed,,12/1/2018,12/31/2018,2.34928,42.27665
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,12/1/2018,12/31/2018,2.009499,45.25
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,12/1/2018,12/31/2018,2.009499,45.25
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Dharkenley,Mogadishu/Dharkenley,,Completed,,12/1/2018,12/31/2018,2.009499,45.25
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,12/1/2018,12/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan,Hodan,,Completed,,12/1/2018,12/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hodan ,Hodan,,Completed,,12/1/2018,12/31/2018,2.043926,45.3
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hawl Wadaag,Hawl Wadaag,,Completed,,12/1/2018,12/31/2018,2.048031,45.32
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Wardhigley,Wardhiigleey,,Completed,,12/1/2018,12/31/2018,2.054921,45.33
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,12/1/2018,12/31/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Waaberi,Waaberi,,Completed,,12/1/2018,12/31/2018,2.019514,45.31
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Hamar Weyne,Xamar Weyne,,Completed,,12/1/2018,12/31/2018,2.033731,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,12/1/2018,12/31/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Bondhere,Mogadishu/Boondheere,,Completed,,12/1/2018,12/31/2018,2.04555,45.34
Periode I,CISP,DFID,Education,Other- please specify,,Banadir,Karaan,Karaan,,Completed,,12/1/2018,12/31/2018,2.06516,45.39
